Date/Time,Word Count,ar,cs,de,en,eo,es,fi,fr,hu,it,ja,ko,lv,no,pt-BR,ro,ru,tr,uk,vi,zh-Hans,zh-Hant
2024.10.20-09.49.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.20-09.49.20,74,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.20-09.52.06,74,0,0,0,74,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.15.52,237,0,0,0,237,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.23.26,137,0,0,0,137,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.27.43,126,0,0,0,126,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.32.18,129,0,0,0,129,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.34.09,117,0,0,0,117,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.34.58,117,0,0,0,117,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.40.36,122,0,0,0,122,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.42.12,122,0,0,0,122,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.44.17,125,0,0,0,125,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.45.23,125,0,0,0,125,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.47.45,127,0,0,0,127,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.48.22,127,0,0,0,127,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.50.54,131,0,0,0,131,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.52.27,131,0,0,0,131,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-11.53.07,131,0,0,0,131,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-14.13.47,130,0,0,0,130,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.22-14.14.27,130,0,0,0,130,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.23-15.29.50,156,0,0,0,156,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.23-15.35.52,130,0,0,0,130,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.23-16.15.10,143,0,0,0,143,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.23-16.16.34,130,0,0,0,130,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.23-19.11.08,143,0,0,0,143,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.10.23-19.12.30,130,0,0,0,130,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.11.04-09.36.56,130,0,0,0,130,0,130,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.11.09-10.06.44,130,0,0,104,130,0,130,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.11.09-10.52.16,130,0,0,130,130,0,130,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.11.11-09.02.53,130,0,0,130,130,0,130,0,130,0,130,0,0,0,0,0,0,0,0,0,0,0,0
2024.11.11-14.04.49,130,0,0,130,130,0,130,0,130,0,130,104,0,0,0,0,0,0,0,0,0,0,0
2024.11.11-14.13.49,117,0,0,117,117,0,117,0,117,0,117,104,0,0,0,0,0,0,0,0,0,0,0
2024.11.11-14.15.35,104,0,0,104,104,0,104,0,104,0,104,104,0,0,0,0,0,0,0,0,0,0,0
2024.11.25-07.14.41,104,0,0,104,104,0,104,0,104,0,104,104,0,0,0,104,0,0,0,0,0,0,0
2025.01.27-09.31.49,104,0,0,104,104,0,104,0,104,0,104,104,104,0,0,104,0,0,0,0,0,0,0
